web-scraper-order,web-scraper-start-url,paging,paging-href,links,links-href,title,price,priceWas,Rating,Rating_Count,discount
"1666980193-151","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Motorcycle
Half Finger Gloves F……EGP 119.20","https://www.noon.com/egypt-en/motorcycle-half-finger-gloves-free-sizeg/N51629044A/p/?o=c807dc2f828ae78a","Motorcycle Half Finger Gloves Free Sizeg","EGP 119.20 (Inclusive of VAT)","null","null","null","null"
"1666980200-152","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Emfil Eva Foam Yoga
Block Brick 23cm …EGP 120.00","https://www.noon.com/egypt-en/eva-foam-yoga-block-brick-23cm/N44859759A/p/?o=aec0774423c74c8d","Eva Foam Yoga Block Brick 23cm","EGP 120.00 (Inclusive of VAT)","null","null","null","null"
"1666980214-153","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Yoga Mat 5
cm …EGP 169.50 4.636","https://www.noon.com/egypt-en/yoga-mat-5-cm/N16718800A/p/?o=d60de9bb8212587d","Yoga Mat 5 cm","EGP 169.50 (Inclusive of VAT)","null","4.6","36 Ratings","null"
"1666980219-154","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Top Skyland Yoga
Mat, Purple - 10mm ……EGP 248.00EGP 38034% Off","https://www.noon.com/egypt-en/yoga-mat-purple-10mm-thick-183-61-1cm/N44711537A/p/?o=ba69d0f7b58540bb","Yoga Mat, Purple - 10mm Thick 183*61*1cm","EGP 248.00 Inclusive of VAT","EGP 380.00","null","null","34% Off"
"1666980225-155","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Double
Wheel-Ab Power Rol……EGP 115.00","https://www.noon.com/egypt-en/double-wheel-ab-power-roller/N44712767A/p/?o=ab14a964669bbf7a","Double Wheel-Ab Power Roller","EGP 115.00 (Inclusive of VAT)","null","null","null","null"
"1666980230-156","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Liveup Yoga Foam
Roller 60x14centime……EGP 488.00","https://www.noon.com/egypt-en/yoga-foam-roller-60x14centimeter/N23730187A/p/?o=a04f8b905172fbfa","Yoga Foam Roller 60x14centimeter","EGP 488.00 (Inclusive of VAT)","null","null","null","null"
"1666980235-157","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Gymbit Yoga Mat With
Carrying Strap And ……EGP 275.00","https://www.noon.com/egypt-en/yoga-mat-with-carrying-strap-and-bag-10millimeter/N44712216A/p/?o=db61ec17493adbfb","Yoga Mat With Carrying Strap And Bag 10millimeter","EGP 275.00 (Inclusive of VAT)","null","null","null","null"
"1666980244-158","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Fitness Foldable Yoga
Mat With Carry Strap……EGP 220.00EGP 25012% Off","https://www.noon.com/egypt-en/foldable-yoga-mat-with-carry-strap-180x80x1cm/N43324422A/p/?o=ed895181f3f765bd","Foldable Yoga Mat With Carry Strap 180x80x1cm","EGP 220.00 Inclusive of VAT","EGP 250.00","null","null","12% Off"
"1666980251-159","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Gymbit Foldable Yoga
Mat With Carrying  B……EGP 319.00 5.02","https://www.noon.com/egypt-en/foldable-yoga-mat-with-carrying-bag-183x61x1cm/N43324419A/p/?o=cb58806c94b50f4c","Foldable Yoga Mat With Carrying  Bag 183x61x1cm","EGP 319.00 (Inclusive of VAT)","null","5.0","2 Ratings","null"
"1666980256-160","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","SkyLand Anti-Skid
Star Yoga Mat 10 m……EGP 319.00 4.04","https://www.noon.com/egypt-en/anti-skid-star-yoga-mat-10-mm-purple-183x61x1cm/N22660399A/p/?o=b9703a581b849abb","Anti-Skid Star Yoga Mat 10 mm - Purple 183x61x1cm","EGP 319.00 (Inclusive of VAT)","null","4.0","4 Ratings","null"
"1666980261-161","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","SportQ Neoprene
Weight Lifting Belt, S……EGP 89.00","https://www.noon.com/egypt-en/neoprene-weight-lifting-belt-squat-weight-lifting-bundles-120cm/N52752602A/p/?o=b399c48bec2570ae","Neoprene Weight Lifting Belt, Squat Weight Lifting Bundles 120cm","EGP 89.00 (Inclusive of VAT)","null","null","null","null"
"1666980266-162","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Emfil Yoga Ball With
Air Pump 65centime……EGP 250.00","https://www.noon.com/egypt-en/yoga-ball-with-air-pump-65centimeter/N16619852A/p/?o=f058a2220895c07c","Yoga Ball With Air Pump 65centimeter","EGP 250.00 (Inclusive of VAT)","null","null","null","null"
"1666980271-163","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Alpha Kamea Padded
Beach Mat - single 7……EGP 640.00EGP 89028% Off","https://www.noon.com/egypt-en/kamea-padded-beach-mat-single-75-x-200cm/N52451443A/p/?o=dbc92a94f2ca35bc","Kamea Padded Beach Mat - single 75 x 200cm","EGP 640.00 Inclusive of VAT","EGP 890.00","null","null","28% Off"
